Lot Number,Sale Number,Url,Title,Current Price,Current # Bids,Current # Watchers,# Page Views,Time Left
17043,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17043,"Pixie and Dixie and Mr. Jinks ""Kind to Meeces Week"" Title Cel with Key Master Background and Studio Title Sheet (Hanna-Barbera, 1960).",410,7,27,83,23h  4s
17044,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17044,"The Yogi Bear Show ""Touch and Go-Go-Go"" Yogi Bear Title Cel Setup with Key Master Background (Hanna-Barbera, 1961).",410,4,38,73,23h
17045,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17045,"Huckleberry Hound and Yogi Bear ""Personal Appearance"" Show Poster (Hanna-Barbera, 1961).",0,0,4,44,22h 59m 56s
17046,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17046,"Huckleberry Hound Oversized Head Display (Hanna-Barbera, c. 1960s-70s).",1,1,15,49,22h 59m 52s
17047,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17047,"The Jetsons Six-Character Publicity Cel and Hand-Painted Background (Hanna-Barbera, 1962-80s).",58,4,40,72,22h 59m 48s
17048,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17048,"The Jetsons Opening Title Sequence George Jetson Production Cel (Hanna-Barbera, 1962).",66,2,49,104,22h 59m 36s
17049,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17049,"The Jetsons Full Main Cast Publicity Cel with Master Background (Hanna-Barbera, c. 1985).",32,2,34,55,22h 59m 33s
17050,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=17050,"The Jetsons Script Cover Cel for Unproduced Live-Action Film Signed by Five Jetsons Voice Actors (Hanna-Barbera, 1985).",26,3,36,81,22h 59m 29s
16161,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16161,"My Neighbor Totoro Mei and Tadpoles Production Cel and Animation Drawing (Studio Ghibli, 1988).",130,5,61,68,23h 28m 32s
16162,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16162,"My Neighbor Totoro Bus and the Kusakabe Family's Car Production Cels (Studio Ghibli, 1988).",300,7,88,123,23h 28m 27s
16163,7292,https://comics.ha.com/c/item.zx?saleNo=7292&lotNo=16163,"My Neighbor Totoro Satsuki Production Cel (Studio Ghibli, 1988).",31,8,70,59,23h 28m 20s
